Name,Gender,Location,Birthdate,Blood Group,Phone,Department,Enrolled Year,Completed Credits,Current CGPA
Samuel Whitaker,Female,Wari,"Mon, Jun 12, 2000",AB+,+880180517824,BBS,2016,136,2.93
Becky Jones,Female,Vatara,"Sat, Apr 17, 1999",AB-,+880172344618,MNS,2023,21,3.79
Jennifer Franklin,Male,Vatara,"Thu, Sep 03, 1998",AB-,+880190412105,CSE,2019,81,2.75
James Bentley,Female,Jurain,"Tue, Dec 01, 1998",O-,+880153817773,MNS,2021,36,2.16
Holly Church,Female,Bashundhara,"Mon, Jul 02, 2001",AB-,+880140886199,MNS,2015,126,3.01
Louis Gonzalez,Female,Mohammadpur,"Sun, Apr 25, 1999",A+,+880143489420,Archi,2018,120,1.61
Shane Smith,Female,Badda,"Mon, Jun 03, 2002",O-,+880145944681,ESS,2017,129,2.02
Alejandro Nelson,Male,Shyampur,"Fri, Oct 05, 2001",B+,+880192371777,ESS,2018,99,2.85
Douglas Fernandez,Male,Kamrangirchar,"Sat, Apr 14, 2001",O+,+880153181239,MNS,2016,126,2.91
Holly Chavez,Female,Sher-e-Bangla Nagar,"Mon, Oct 14, 2002",B-,+880180794534,Archi,2020,96,2.53
Nicholas Sheppard,Male,Khilkhet,"Wed, Mar 17, 1999",A+,+880150610001,ENH,2016,129,3.87
Laura Lynch,Male,Hazaribagh,"Thu, Jun 10, 1999",B-,+880135528967,ESS,2019,81,3.36
Shane Potts,Female,Shyampur,"Tue, Jun 04, 2002",AB-,+880144153544,ENH,2021,54,1.86
Erik Guerrero,Male,Nimtoli,"Wed, Dec 13, 2000",A-,+880180048201,ESS,2019,120,3.76
Samuel Mitchell,Female,Uttara,"Sun, Jul 08, 2001",AB+,+880169378908,Archi,2018,66,2.18
Melinda Allen,Male,Tejgaon,"Fri, Oct 19, 2001",AB-,+880191199206,Archi,2015,126,1.73
Carl Morales,Female,Farmgate,"Sun, Dec 22, 2002",B+,+880152748230,BBS,2016,129,2.54
Stacy Reid,Male,Rampura,"Wed, Dec 05, 2001",B-,+880158914440,Pharma,2015,136,2.11
Tiffany Clark,Male,Pallabi,"Sat, Oct 06, 2001",B-,+880173844267,BBS,2019,93,3.66
Joseph Small,Male,Lalbagh,"Wed, Nov 18, 1998",A-,+880130962849,CSE,2022,33,2.29
Dana Hernandez,Female,Nimtoli,"Sun, Jun 10, 2001",B+,+880171274364,MNS,2016,129,3.03
Brandon Ross,Female,Uttara,"Sat, Aug 14, 1999",AB-,+880193707545,CSE,2022,48,1.69
Marc Price,Female,Abdullahpur,"Tue, Jul 21, 1998",B+,+880156156515,Pharma,2019,63,2.68
Tyler White,Female,Shyampur,"Wed, May 20, 1998",B-,+880193673062,Law,2016,123,2.22
Jennifer Santos,Female,Vatara,"Sat, Mar 08, 2003",AB+,+880190978051,BBS,2022,51,3.37
Ashley Pierce,Male,Shahbagh,"Sun, Jul 01, 2001",O+,+880157677759,EEE,2017,132,2.70
Cynthia Cortez,Male,Agargaon,"Mon, Oct 15, 2001",O-,+880181941658,CSE,2019,72,2.29
Victor Sellers,Female,Mohakhali,"Thu, Dec 03, 1998",A-,+880151496155,MNS,2021,51,2.39
Meagan Vang,Male,Jurain,"Sun, May 03, 1998",AB-,+880195101588,ESS,2023,21,2.31
Stacy Hardy,Female,Farmgate,"Sun, Aug 06, 2000",A+,+880193795635,BBS,2017,126,3.71
Angelica Mcdonald,Female,Kafrul,"Thu, Feb 14, 2002",AB-,+880132807606,Archi,2023,12,3.52
Susan Martinez,Male,Wari,"Thu, Feb 04, 1999",AB+,+880145389341,Archi,2023,12,2.62
Katrina Boyle,Female,Lalbagh,"Mon, Dec 28, 1998",B-,+880182482584,Law,2019,81,1.75
Phillip Zavala,Female,Badda,"Sat, Sep 12, 1998",AB+,+880144140444,ESS,2016,136,2.23
Brenda Acevedo,Male,Tejgaon,"Wed, Sep 23, 1998",AB-,+880182013909,MNS,2017,136,3.02
Elizabeth Randall,Male,Sadarghat,"Sat, Sep 01, 2001",O+,+880156216403,ESS,2022,54,3.83
Jaime Thomas DDS,Female,Shahbagh,"Tue, Feb 01, 2000",B-,+880180735021,Pharma,2017,123,3.47
Rachel Freeman,Male,Banani,"Sat, Oct 17, 1998",B+,+880151282048,Law,2017,126,3.29
John Ramos,Male,Kamrangirchar,"Thu, Aug 15, 2002",A+,+880184402046,Pharma,2021,51,1.70
Kimberly Roach,Female,Hazaribagh,"Tue, Oct 01, 2002",AB-,+880175266630,BBS,2018,63,2.65
Craig Guerrero,Female,Jurain,"Sun, Jun 10, 2001",A-,+880158186340,BBS,2016,126,3.79
Dr. Joseph Tucker,Male,Jurain,"Mon, Oct 26, 1998",B-,+880180211629,EEE,2023,15,2.93
Lori Reed,Female,Mohammadpur,"Tue, Dec 01, 1998",AB-,+880145253418,Law,2015,126,3.33
Aaron Casey,Male,Dhanmondi,"Sun, Jan 24, 1999",B+,+880153767571,EEE,2015,136,2.79
David Elliott,Female,Paltan,"Fri, Feb 26, 1999",A-,+880186716384,MNS,2022,51,3.60
Heather Mason,Female,Uttara,"Sun, Oct 01, 2000",B-,+880166588017,ENH,2022,39,3.99
Nicholas Zhang,Female,Lalbagh,"Fri, Oct 06, 2000",AB+,+880174693220,ENH,2023,6,2.33
Johnny Smith,Female,Uttarkhan,"Tue, Sep 22, 1998",AB+,+880187925536,EEE,2015,132,2.04
Darlene Schwartz,Male,Vatara,"Sun, May 13, 2001",O+,+880176676692,BBS,2022,60,2.30
Jordan Hurley,Female,Vatara,"Tue, Oct 02, 2001",B+,+880130997569,Pharma,2018,87,2.44
Stacy Murray,Male,Vatara,"Fri, Mar 16, 2001",O+,+880138113831,MNS,2021,33,3.69
Angelica Adkins,Female,Uttara,"Wed, Dec 16, 1998",AB+,+880152749603,MNS,2020,78,3.41
Ana Perez,Female,Khilgaon,"Tue, Mar 06, 2001",AB+,+880133093826,ESS,2023,3,3.86
